,count,mean,std,min,25%,50%,75%,max
ast,2519.0,17.58,4.74,7.0,15.0,17.0,20.0,83.0
alt,2519.0,13.33,5.38,5.0,10.0,12.0,15.0,60.0
bmi,2519.0,27.92,5.75,8.7,24.2,27.9,32.0,48.2
gamma_gtp,2519.0,13.82,18.04,2.0,9.0,11.0,15.0,610.0
ldl,2519.0,105.51,24.32,28.0,88.0,105.0,122.0,214.0
crtn,2519.0,0.7,0.13,0.4,0.6,0.7,0.8,1.2
fbs,2519.0,91.24,8.24,57.0,86.0,91.0,96.0,145.0
hgb,2519.0,10.79,1.16,3.5,10.1,11.2,11.7,12.9
tc,2519.0,181.78,27.91,76.0,163.0,181.0,201.0,322.0
vcr,2519.0,1.59,0.62,0.0,1.0,2.0,2.0,9.0
vcl,2519.0,1.63,0.55,0.0,1.2,2.0,2.0,2.0
height,2519.0,161.64,5.52,140.0,158.0,162.0,165.0,188.0
weight,2519.0,56.2,7.26,38.6,51.2,55.3,60.2,97.7
wc,2519.0,75.71,7.13,53.0,71.0,75.0,80.0,110.0
sbp,2519.0,110.75,11.16,80.0,103.0,110.0,118.0,161.0
dbp,2519.0,67.63,8.74,44.0,62.0,67.0,73.0,107.0
egfr,2519.0,104.26,13.99,56.0,93.0,108.0,114.0,147.0
