,clusters
2600,10
22777,11
27736,11
12006,0
15336,0
14335,11
32318,13
9548,15
40303,11
16365,6
22748,7
6403,12
21391,3
8862,4
26213,4
41337,2
29799,2
44948,5
48646,1
12787,8
11891,1
38564,13
31519,0
23633,9
247,10
27794,7
34389,11
42953,15
35551,2
24049,10
27016,14
15562,0
1010,0
35811,11
43567,7
28467,0
10642,6
7217,3
16498,5
44776,11
10646,0
2777,5
24960,9
49446,5
46396,11
17452,8
20115,3
11369,0
13306,11
49191,4
40662,1
16312,14
30093,8
30,13
46430,14
44132,11
17942,11
32684,5
13817,5
822,10
34216,2
8505,11
14861,12
6927,2
34669,10
31440,7
17648,10
32661,13
6151,2
33452,6
18647,15
5485,14
36827,11
295,3
3446,6
13965,13
30606,8
12151,11
10218,6
20978,7
30596,0
45503,12
45274,11
44016,5
31069,8
7186,11
40942,12
20066,11
19513,4
12987,7
15398,1
37922,3
49265,2
41842,8
24374,8
36647,15
13878,5
22779,10
48137,15
11131,0
45198,5
6039,7
11213,7
30636,8
4863,11
14291,11
1768,2
30682,0
38635,4
33535,14
40685,10
14752,11
47126,10
1823,6
13316,4
7605,7
43077,14
37957,7
27742,2
1267,2
22305,11
4965,10
39425,5
338,9
25897,1
25035,3
1709,7
36112,3
21230,11
44431,10
44154,2
27325,7
3718,5
14737,11
7398,5
2286,13
5104,9
43818,5
41442,2
14853,10
3234,11
1099,5
15192,10
45562,13
45603,15
1495,14
10888,4
40950,4
40399,10
34621,1
8399,3
6582,8
34300,15
10039,5
5003,13
16286,3
31918,8
6076,10
21219,9
34277,11
43270,9
36055,1
45481,14
24925,5
7009,11
8365,2
7460,5
37340,7
4691,14
34250,5
25690,4
7083,10
12222,4
7590,1
4422,11
18611,14
7711,12
41683,11
16123,5
20565,11
2863,11
44644,10
20901,5
41059,13
39520,1
27500,0
23389,10
44997,11
22302,11
30837,10
39060,10
31360,3
30764,6
1352,11
24092,5
2551,5
33678,11
34710,11
28448,0
43587,15
31233,4
15283,12
18175,4
45954,5
613,9
30859,7
8568,11
26139,7
47059,12
49477,5
21303,13
35973,11
44709,3
12182,15
24143,11
37798,15
42820,8
31370,7
27159,7
41238,14
21117,0
11261,11
15789,14
25201,3
46405,10
4064,13
23934,11
43388,10
19927,15
26754,12
27166,7
18834,6
8342,3
14425,11
15972,12
23372,0
11975,7
4665,0
22081,11
6949,5
45683,5
6330,15
49103,5
140,15
35745,13
26899,15
10004,8
23128,8
33551,9
18026,6
4261,5
18237,13
5841,13
39851,10
21711,9
4792,10
38052,5
41180,15
15548,7
37594,9
23422,13
5776,11
40671,4
14825,11
14882,7
30879,11
28323,11
4667,10
28979,3
30920,10
27734,15
37396,10
24434,11
28998,6
4867,3
18657,13
38279,13
17341,12
146,3
41837,10
11903,7
45820,6
40798,13
21100,11
8545,10
4925,0
28531,12
35960,10
38108,11
21795,9
42679,6
16551,11
39250,11
37678,10
43665,11
37999,11
19073,10
46689,7
20524,10
29127,0
33683,4
13879,10
48556,11
3173,5
48318,11
5967,2
22199,7
369,0
4608,4
34402,3
25379,15
9237,11
30679,6
7626,7
28648,13
9247,1
25854,7
13186,15
24909,7
36703,11
22813,11
36014,10
5032,6
42875,3
36733,10
43106,11
5919,2
23100,5
2202,10
48158,1
47083,11
10478,11
33815,2
10499,11
4498,11
40470,11
11648,12
36418,6
14810,3
36806,0
45753,10
19481,4
18716,10
4683,11
15,0
45905,6
46925,3
25279,5
25872,7
17624,2
36292,10
4242,1
48103,11
36771,7
25600,10
25618,11
45703,12
14375,11
6497,15
456,4
17043,11
7162,12
33491,6
339,0
45405,5
17970,8
19806,4
12058,3
21458,10
41457,15
32782,6
21030,11
40788,6
31282,10
12067,11
29492,15
24443,5
39153,1
7256,5
3722,14
26466,0
29215,5
14978,13
34625,11
16632,15
15939,0
8359,3
13748,11
6013,4
41749,9
26858,4
23446,11
31647,5
10209,9
41212,8
7450,0
27066,5
17257,9
32941,10
22967,10
26622,11
983,10
42295,15
8695,7
9676,2
10032,0
49475,15
35082,1
45345,11
884,10
7007,1
5839,7
5518,7
